State,2017_ACT_Parti%,2017_ACT_English,2017_ACT_Math,2017_ACT_Reading,2017_ACT_Science,2017_ACT_Composite,2018_ACT_Parti%,2018_ACT_Composite
Maine,8.0,24.2,24.0,24.8,23.7,24.3,7.0,24.0
New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,16.0,25.1
Delaware,18.0,24.1,23.4,24.8,23.6,24.1,17.0,23.8
Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,15.0,24.2
Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,20.0,23.5
Maryland,28.0,23.3,23.1,24.2,2.3,23.6,31.0,22.5
Vermont,29.0,23.3,23.1,24.4,23.2,23.6,24.0,24.1
Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,25.0,25.5
Michigan,29.0,24.1,23.7,24.5,23.8,24.1,22.0,24.2
Virginia,29.0,23.5,23.3,24.6,23.5,23.8,24.0,23.9
Washington,29.0,20.9,21.9,22.1,22.0,21.9,24.0,22.2
California,31.0,22.5,22.7,23.1,22.2,22.8,27.0,22.7
New York,31.0,23.8,24.0,24.6,23.9,24.2,27.0,24.5
Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,26.0,25.6
District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,32.0,23.6
New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,31.0,23.7
Indiana,35.0,22.0,22.4,23.2,22.3,22.6,32.0,22.5
Idaho,38.0,21.9,21.8,23.0,22.1,22.3,36.0,22.3
Oregon,40.0,21.2,21.5,22.4,21.7,21.8,42.0,21.3
Texas,45.0,19.5,20.7,21.1,20.9,20.7,45.0,20.7
Georgia,55.0,21.0,20.9,22.0,21.3,21.4,53.0,21.4
Arizona,62.0,18.6,19.8,20.1,19.8,19.7,66.0,19.2
Alaska,65.0,18.7,19.8,20.4,19.9,19.8,33.0,20.8
New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,67.0,19.4
Iowa,67.0,21.2,21.3,22.6,22.1,21.9,68.0,21.8
West Virginia,69.0,20.0,19.4,21.2,20.5,20.4,65.0,20.3
Kansas,73.0,21.1,21.3,22.3,21.7,21.7,71.0,21.6
Florida,73.0,19.0,19.4,21.0,19.4,19.8,66.0,19.9
Ohio,75.0,21.2,21.6,22.5,22.0,22.0,100.0,20.3
South Dakota,80.0,20.7,21.5,22.3,22.0,21.8,77.0,21.9
Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,100.0,20.1
Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,89.0,18.9
Illinois,93.0,21.0,21.2,21.6,21.3,21.4,43.0,23.9
North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,98.0,20.3
South Carolina,100.0,17.5,18.6,19.1,18.9,18.7,100.0,18.3
Utah,100.0,19.5,19.9,20.8,20.6,20.3,100.0,20.4
Tennessee,100.0,19.5,19.2,20.1,19.9,19.8,100.0,19.6
Alabama,100.0,18.9,18.4,19.7,19.4,19.2,100.0,19.1
Missouri,100.0,19.8,19.9,20.8,20.5,20.4,100.0,20.0
North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,100.0,19.1
Nevada,100.0,16.3,18.0,18.1,18.2,17.8,100.0,17.7
Montana,100.0,19.0,20.2,21.0,20.5,20.3,100.0,20.0
Wisconsin,100.0,19.7,20.4,20.6,20.9,20.5,100.0,20.5
Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,100.0,18.6
Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,99.0,21.3
Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,100.0,19.2
Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,100.0,20.2
Colorado,100.0,20.1,20.3,21.2,20.9,20.8,30.0,23.9
Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,100.0,19.4
Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,100.0,19.3
Wyoming,100.0,19.4,19.8,20.8,20.6,20.2,100.0,20.0
