State,2017_ACT_Parti%,2017_ACT_English,2017_ACT_Math,2017_ACT_Reading,2017_ACT_Science,2017_ACT_Composite,2018_ACT_Parti%,2018_ACT_Composite,2017_SAT_Parti%,2017_SAT_EBRW,2017_SAT_Math,2017_SAT_Total,2018_SAT_Parti%,2018_SAT_EBRW,2018_SAT_Math,2018_SAT_Total
Maine,8.0,24.2,24.0,24.8,23.7,24.3,7.0,24.0,95.0,513,499,1012,99.0,512,501,1013
New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,16.0,25.1,96.0,532,520,1052,96.0,535,528,1063
Delaware,18.0,24.1,23.4,24.8,23.6,24.1,17.0,23.8,100.0,503,492,996,100.0,505,492,998
Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,15.0,24.2,71.0,539,524,1062,97.0,513,505,1018
Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,20.0,23.5,65.0,540,531,1071,70.0,547,539,1086
Maryland,28.0,23.3,23.1,24.2,2.3,23.6,31.0,22.5,69.0,536,52,1060,76.0,545,535,1080
Vermont,29.0,23.3,23.1,24.4,23.2,23.6,24.0,24.1,60.0,562,551,1114,64.0,565,554,1120
Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,25.0,25.5,76.0,555,551,1107,80.0,562,563,1125
Michigan,29.0,24.1,23.7,24.5,23.8,24.1,22.0,24.2,100.0,509,495,1005,100.0,511,499,1011
Virginia,29.0,23.5,23.3,24.6,23.5,23.8,24.0,23.9,65.0,561,541,1102,68.0,567,550,1117
Washington,29.0,20.9,21.9,22.1,22.0,21.9,24.0,22.2,64.0,541,534,1075,69.0,543,538,1081
California,31.0,22.5,22.7,23.1,22.2,22.8,27.0,22.7,53.0,531,524,1055,60.0,540,536,1076
New York,31.0,23.8,24.0,24.6,23.9,24.2,27.0,24.5,67.0,528,523,1052,79.0,534,534,1068
Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,26.0,25.6,100.0,530,512,1041,100.0,535,519,1053
District of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,32.0,23.6,100.0,482,468,950,92.0,497,480,977
New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,31.0,23.7,70.0,530,526,1056,82.0,547,547,1094
